ca_score,participation,exam_score,total,performance
11,4,28,43,At Risk
22,3,63,88,Distinction
27,5,49,81,Distinction
6,1,28,35,Fail
20,1,48,69,Pass
16,1,45,62,Pass
24,3,56,83,Distinction
3,2,24,29,Fail
14,4,43,61,Pass
14,2,41,57,Pass
16,4,33,53,Pass
11,4,38,53,Pass
28,5,53,86,Distinction
4,0,3,7,Fail
28,3,50,81,Distinction
17,2,25,44,At Risk
26,3,57,86,Distinction
17,4,31,52,Pass
2,1,11,14,Fail
11,1,21,33,Fail
14,4,35,53,Pass
18,1,46,65,Pass
24,5,65,94,Distinction
22,1,30,53,Pass
15,1,28,44,At Risk
22,3,47,72,Distinction
10,4,46,60,Pass
22,3,49,74,Distinction
29,4,45,78,Distinction
21,4,39,64,Pass
11,1,11,23,Fail
4,1,26,31,Fail
18,2,29,49,Pass
14,1,25,40,At Risk
16,4,49,69,Pass
20,1,28,49,Pass
13,3,43,59,Pass
10,0,22,32,Fail
27,3,48,78,Distinction
28,3,46,77,Distinction
22,3,47,72,Distinction
13,2,32,47,Pass
24,4,55,83,Distinction
25,3,61,89,Distinction
11,2,9,22,Fail
28,4,57,89,Distinction
22,1,32,55,Pass
21,3,35,59,Pass
23,4,59,86,Distinction
1,1,16,18,Fail
23,3,55,81,Distinction
0,1,5,6,Fail
22,2,45,69,Pass
25,4,62,91,Distinction
22,3,27,52,Pass
12,0,10,22,Fail
10,4,35,49,Pass
30,5,56,91,Distinction
23,5,60,88,Distinction
20,2,49,71,Distinction
4,0,17,21,Fail
16,2,46,64,Pass
5,2,28,35,Fail
21,3,55,79,Distinction
11,2,47,60,Pass
19,4,28,51,Pass
0,2,6,8,Fail
23,4,56,83,Distinction
9,0,27,36,Fail
29,5,55,89,Distinction
9,1,22,32,Fail
20,2,29,51,Pass
12,2,11,25,Fail
19,4,33,56,Pass
6,2,1,9,Fail
28,3,51,82,Distinction
13,4,45,62,Pass
2,0,6,8,Fail
10,2,37,49,Pass
13,1,42,56,Pass
11,1,37,49,Pass
26,4,55,85,Distinction
24,4,45,73,Distinction
1,0,8,9,Fail
24,5,63,92,Distinction
21,2,43,66,Pass
21,3,39,63,Pass
29,3,65,97,Distinction
26,4,64,94,Distinction
13,1,32,46,Pass
2,2,13,17,Fail
8,2,3,13,Fail
12,1,25,38,Fail
17,3,32,52,Pass
3,1,28,32,Fail
29,5,46,80,Distinction
26,3,64,93,Distinction
14,3,45,62,Pass
28,3,50,81,Distinction
9,2,6,17,Fail
22,4,27,53,Pass
25,5,48,78,Distinction
25,5,48,78,Distinction
14,1,47,62,Pass
14,1,40,55,Pass
28,4,60,92,Distinction
25,5,60,90,Distinction
24,4,65,93,Distinction
10,2,9,21,Fail
20,2,33,55,Pass
19,2,49,70,Distinction
13,3,49,65,Pass
4,1,16,21,Fail
18,3,28,49,Pass
27,4,52,83,Distinction
6,2,5,13,Fail
26,4,51,81,Distinction
28,3,46,77,Distinction
28,3,50,81,Distinction
13,1,27,41,At Risk
0,2,12,14,Fail
20,3,47,70,Distinction
13,4,28,45,Pass
12,3,44,59,Pass
9,0,13,22,Fail
26,5,63,94,Distinction
10,1,32,43,At Risk
0,0,26,26,Fail
17,1,40,58,Pass
22,5,56,83,Distinction
10,1,24,35,Fail
3,2,1,6,Fail
22,3,49,74,Distinction
7,2,2,11,Fail
26,5,63,94,Distinction
7,0,16,23,Fail
4,2,4,10,Fail
10,2,25,37,Fail
21,2,29,52,Pass
10,0,29,39,Fail
8,2,21,31,Fail
11,2,39,52,Pass
10,1,44,55,Pass
16,2,47,65,Pass
15,1,48,64,Pass
27,4,54,85,Distinction
27,4,54,85,Distinction
5,1,4,10,Fail
28,3,62,93,Distinction
18,1,41,60,Pass
20,3,34,57,Pass
12,4,26,42,At Risk
19,2,46,67,Pass
6,2,26,34,Fail
5,2,8,15,Fail
11,2,19,32,Fail
1,1,20,22,Fail
2,1,14,17,Fail
18,1,40,59,Pass
20,4,26,50,Pass
20,5,54,79,Distinction
20,2,43,65,Pass
30,4,48,82,Distinction
18,1,25,44,At Risk
3,2,16,21,Fail
12,1,34,47,Pass
22,2,34,58,Pass
15,4,30,49,Pass
1,2,21,24,Fail
13,3,45,61,Pass
23,3,53,79,Distinction
12,4,41,57,Pass
18,2,42,62,Pass
17,3,41,61,Pass
23,5,45,73,Distinction
4,2,15,21,Fail
30,3,62,95,Distinction
19,1,35,55,Pass
16,2,42,60,Pass
22,5,57,84,Distinction
22,4,50,76,Distinction
17,3,38,58,Pass
19,1,33,53,Pass
10,0,6,16,Fail
21,1,46,68,Pass
21,5,65,91,Distinction
19,3,30,52,Pass
13,2,35,50,Pass
21,4,55,80,Distinction
22,4,46,72,Distinction
22,3,46,71,Distinction
11,2,0,13,Fail
25,4,45,74,Distinction
24,3,49,76,Distinction
24,4,51,79,Distinction
13,3,27,43,At Risk
20,5,54,79,Distinction
14,1,44,59,Pass
26,4,49,79,Distinction
19,1,34,54,Pass
10,1,45,56,Pass
25,5,57,87,Distinction
15,1,46,62,Pass
26,3,56,85,Distinction
22,4,53,79,Distinction
4,2,12,18,Fail
13,3,40,56,Pass
0,2,7,9,Fail
24,4,56,84,Distinction
15,2,25,42,At Risk
20,4,34,58,Pass
29,4,59,92,Distinction
3,1,8,12,Fail
10,1,6,17,Fail
5,2,18,25,Fail
21,4,32,57,Pass
28,5,45,78,Distinction
12,3,34,49,Pass
19,1,42,62,Pass
22,2,25,49,Pass
22,4,41,67,Pass
22,1,31,54,Pass
9,0,6,15,Fail
9,0,2,11,Fail
0,2,20,22,Fail
20,5,47,72,Distinction
14,3,40,57,Pass
